School Name,Prompt Number,Prompt
Massachusetts,150,200 words. 3) Describe a time when you were on a team that was dysfunctional in some regard. How did you address the situation? (Teamwork)
Massachusetts,150,"200 words. 4) Describe a meaningful interaction you have had with a person whom you have helped at work, school or another activity. (Empathy/Compassion)"
Massachusetts,150,"200 words. 6) Describe a time when you have ""thought outside the box"" to solve a problem. (Inquiry)"
Massachusetts,150,200 words. 7) Describe a time when you suffered a setback. How did you respond to this challenge? (Persistence/Grit)
Massachusetts,150,"200 words. Q2) Please discuss any part of your application that you feel requires further explanation. For example, discuss grades or MCAT scores that do not reflect your true ability, and/or a gap in time that is not explained elsewhere in your application. Discuss any impact that the COVID-19 pandemic has had on your academic, service, extracurricular or employment experiences. If you are reapplying to T.H. Chan SOM, highlight how you have strengthened your application.(250 word limit)"
East Carolina (Brody),2023,2024 East Carolina (Brody) Secondary Prompts 2500 max characters each and it is strongly recommended that you not copy and paste your AMCAS application essay.
East Carolina (Brody),1,"When you close your eyes and imagine your professional life 20 years from now, what do you see?"
East Carolina (Brody),2,Tell us about a time where you felt that your persisted towards a goal or outcome you wanted even when there where challenges/barriers in the way. How did to you stay motivated to achieve your goal? Describe resources you used to overcome the challenge.
East Carolina (Brody),3,Medical school presents numerous emotional and professional challenges. Please share an instance where you faced a difficult academic situation and explain how you managed the situation. How did you promote your wellness during this situation?
East Carolina (Brody),4,East Carolina University’s motto is Servire- “To Serve.” Tell us about your most meaningful community service project or experience unrelated to patient care.
Creighton,2023,2024 Creighton Secondary Prompts 1. Please state your reasons for applying to Creighton University School of Medicine. (2000 characters)
Creighton,2,"In Creighton's Jesuit, Catholic tradition, the mission of the School of Medicine is to improve the human condition with a diverse body of students, faculty and staff who provide excellence in educating students, physicians and the public, advancing knowledge and providing comprehensive patient care to all persons. Please describe the role(s) you can play in helping the School of Medicine achieve its mission. (2000 characters)"
Creighton,3,Describe your experiences within multicultural settings and/or with disadvantaged or underserved populations and how they prepared you to for a future as a physician? (2000 characters)
Creighton,4,Describe how you have dealt with a personal challenge or major obstacle that you have overcome. Focus on what you learned about yourself and how it will help you during the challenges you might face in medical school. (2000 characters)
Creighton,5,"Please reflect on your entire application, is there anything you would like to further share with the Admissions Committee? Gap(s) in your education, personal and/or academic challenges, etc. (2000 characters)"
Creighton,6,"At Creighton we are committed to the service of others through non-medical volunteer activities. Please list all your non-medical community service hours post high school. Please list any experiences, including those previously described on your AMCAS application. Include a brief description, dates and number of hours for each event. (300 characters per description)"
Dartmouth (Geisel),2023,"2024 Dartmouth Secondary Essay Prompts: 1. Please indicate your plans for the 2023-2024 academic year. If in school, please list your courses. If working, let us know something about the nature of your job. If your plans or courses change subsequently, please inform the Admissions Office by email at [email protected]. (no limit)"
Dartmouth (Geisel),2,Please reflect on your primary application and share something not addressed elsewhere that would be helpful to the Admissions Committee as we review your file. (No limit)
Dartmouth (Geisel),3,Please tell us specifically why you are interested in Geisel: (no word count)
Dartmouth (Geisel),4,Geisel School of Medicine values social justice and diversity in all its forms. Reflect on a situation where you were the “other”
Alabama,2023,2024 Alabama Secondary Essay Prompts State of Residence Section:
Alabama,1,Non-Alabama Resident with Ties to Alabama: Describe any ties or meaningful experiences you have had related to the state of Alabama or UAB Medical Center (1500 characters)
Alabama,2,"All Applicants: if the area you spent most of your life before college differs from where you currently consider your permanent address, please explain (1500 characters)"
Alabama,3,Where do you see yourself in your medical career fifteen to twenty years from now? (750 characters)
Alabama,4,Learning from others is enhanced in educational settings that include individuals from a variety of backgrounds and experiences. Please describe your personal characteristics or experiences that would add to the learning environment for your classmates. (750 characters)
Alabama,5,Describe a patient interaction with the healthcare system. This could be a direct patient observation (in person or virtual) during a shadowing/clinical experience or a personal experience within the healthcare system. What did you learn from this experience? (750 characters)
Alabama,6,Describe a fulfilling or challenging community service experience and how you grew personally from the experience. (750 characters)
Alabama,7,"UAB Medicine provides quality health care and compassionate service to every patient, every time, regardless of their individual differences or circumstances. Our academic medical center attracts patients from across the world who represent many cultures, religions, lifestyles, and economic backgrounds. Why are you specifically interested in beginning your medical education in this environment, and how do you feel that your previous experiences will prepare you for this unique learning environment? (750 characters)"
Alabama,8,(OPTIONAL): Describe your identity and how it has impacted the development of your values and attitudes toward individuals different from yourself and how this will impact your interactions with future colleagues and patients. (750 characters)
Alabama,9,(OPTIONAL): Please share any information you want us to know about you that is not included in your AMCAS application or in this secondary application. (750 characters)
Alabama,10,You have a separate page to add any experiences that you did not have listed on your AMCAS application
Case Western Reserve,2,"Additional Information Response: Is there any further information that you wish to share with the Admissions Committee that may not be captured in the rest of your application? (2,000 character limit)"
Florida Atlantic (Schmidt),3,"Whether or not you will be a full-time student, please provide details of your activities/employment for the application year. (1200 char incl spaces)"
Florida Atlantic (Schmidt),4,"Describe why you would like to attend the Charles E. Schmidt College of Medicine at FAU. What values, skills, talents, and life experiences would you contribute to our community? (1600 char incl spaces)"
Florida Atlantic (Schmidt),5,Describe your most meaningful community service experience that is unrelated to direct patient care. Why did you select this particular experience? In what way did you grow and learn from this experience? What did you enjoy most?
Florida Atlantic (Schmidt),6,What traits do you feel you have developed through your experiences thus far (such as paid or unpaid work experiences) that will help prepare you to be successful in medical school and a future physician. Experience does not need to be related to patient care.
Florida Atlantic (Schmidt),7,"Leadership can be defined in many ways. One way of defining leadership is as a set of behaviors used to help people align their collective direction, or lead a group or an organization. Tell us about a time you executed your leadership skills."
Florida Atlantic (Schmidt),8,"Please describe a significant personal challenge you have faced, one which you feel has helped shape you as a person. Focus on what you learned about yourself and how it will help you during challenges you may face during medical school and as a future physician. Describe any support system and/or resources you had available and how you utilized them."
Cooper (Rowan),2023,"2024 Cooper (Rowan) Secondary Prompts 1. Please describe your anticipated educational, employment, volunteer, or other activities between completing your AMCAS application and matriculating to medical school. (1500 characters)"
Cooper (Rowan),2,Tell us about something that makes you a unique applicant to CMSRU. How will CMSRU help you fulfill your mission? (1500 characters)
Cooper (Rowan),3,Medical school involves hard work and can be stressful at times. Tell us about activities that you use to help maintain a work-life balance and respond to stress. (1500 characters)
Rutgers (New Jersey),2023,"2024 Rutgers (New Jersey) Secondary Essay Prompts: (1500 characters each) 1. We are committed to supporting our NJMS community by enhancing collaboration between students, staff, and faculty, with a dedicated focus on humanism, health equity and social justice. How do you envision yourself contributing to the NJMS community?"
Rutgers (New Jersey),2,"We seek students who are respectful, self-aware, humble, resilient, team-oriented, and adaptable. Discuss a personal or professional challenge you have experienced and share insight on what you learned about yourself and how the challenge was resolved."
Rutgers (New Jersey),3,"If you will not be a full-time student between June 2023 and August 2024, please describe in detail your planned activities, including projected time commitment for each activity:"
Rutgers (New Jersey),4,"If you have chosen to pursue one or more “growth” years prior to your planned matriculation to medical school in 2024, please share insight on your decision"
Rutgers (New Jersey),5,"If you are a re-applicant, please share what you have done to enhance your candidacy and re-application?"
Rutgers (New Jersey),6,"Please elaborate on challenges not thoroughly addressed anywhere else in your application (Please feel free to address any or all of the following if applicable: Institutional Actions, Academic and/or MCAT inconsistencies, personal challenges,):"
Rutgers (New Jersey),7,Please discuss any additional information you feel may help us in our review of your candidacy
Emory,2023,2024 Emory Secondary Prompts All have 200 word limits.
Emory,1,"List your entire curriculum plan for the 2023-2024 academic year. If you are not in school, please briefly describe your plans for the coming year."
Emory,2,"Briefly describe your health-related experiences. Be sure to include important experiences that are in your AMCAS application, as well as any recent experiences."
Emory,3,Briefly describe your interest in Emory and the Emory degree program you have selected.
Emory,4,"Emory School of Medicine is committed to recruiting and educating medical students who will help deliver quality health care and will promote the health of our patients. In our community, this includes learning about and addressing the health care needs of our most under-served populations. Please describe any of your activities that have been in service to under-served communities."
Emory,5,"If you have any updates or new information to report since you have submitted your AMCAS primary application, please briefly describe below."
Emory,2023,2024 Emory Secondary Prompts All have 200 word limits.
Emory,1,"List your entire curriculum plan for the 2023-2024 academic year. If you are not in school, please briefly describe your plans for the coming year."
Emory,2,"Briefly describe your health-related experiences. Be sure to include important experiences that are in your AMCAS application, as well as any recent experiences."
Emory,3,Briefly describe your interest in Emory and the Emory degree program you have selected.
Emory,4,"Emory School of Medicine is committed to recruiting and educating medical students who will help deliver quality health care and will promote the health of our patients. In our community, this includes learning about and addressing the health care needs of our most under-served populations. Please describe any of your activities that have been in service to under-served communities."
Emory,5,"If you have any updates or new information to report since you have submitted your AMCAS primary application, please briefly describe below."
Temple,2023,"2024 Temple Secondary Essay Prompts: (all are required, each 2000 character limit) The Admissions Committee would like to know more about you."
Temple,2023,"2024 Temple Secondary Essay Prompts: (all are required, each 2000 character limit) Tell us about your special interest in the campus you selected."
Temple,2023,"2024 Temple Secondary Essay Prompts: (all are required, each 2000 character limit) The Coronavirus pandemic has affected all of us."
Temple,19,"Note: 2,000 character limit per essay question, including spaces."
Temple,2023,"2024 Temple Secondary Essay Prompts: (all are required, each 2000 character limit) Have you completed a pathway/pipeline program offered through LKSOM or another medical school? These types of pathway/pipeline programs include Diversity Scholars, STEP-UP, Summer Health Professions Education Program (SHPEP) or other similar programs sponsored by a medical school. (Y/N)"
Pittsburgh,2023,2024 Pittsburgh Secondary Essay Prompts 1. Tell us about a challenging problem you faced and how you resolved it. Include how the experience contributed to the person you are today.  (250 words or less.)
Pittsburgh,2,"At UPSOM, diversity and inclusion are measures of distinction, integral to achieving institutional excellence, and essential to the development of future physicians who become leaders in medicine. Describe how you have demonstrated a commitment to diversity and inclusion in the past, and how you hope to grow that commitment in medical school. (250 words or less.)"
Pittsburgh,3,Tell the Admissions Committee why you are applying to Pitt Med and why you think this school would be a good fit for you?  (250 words or less.)
Ohio State,2023,2024 Ohio State Secondary Prompts All prompts are 250 words or less.
Ohio State,1,"The mission statement of The Ohio State University College of Medicine is to ""improve people's lives"" through innovation in research, medical education, and patient care. Please describe how your past experiences predict your potential to contribute in two of these three areas."
Ohio State,2,The OSU COM has a goal of assembling a class that is enriched with a broad range of unique experiences. Do you believe this is a desirable goal for a medical school's student composition? Please elaborate.
Ohio State,3,Please see our website for more information about applying to our program at medicine.osu.edu/pct. How do you feel ready to choose a career in family medicine? Please provide any examples of exposure and/or experiences not already mentioned in your application.
Ohio State,4,"""Health is Primary"" is a communications campaign to advocate for the values of family medicine, demonstrate the benefits of primary care, and engage patients in our healthcare system. The aim is to build a primary care system that reflects the values of family medicine, puts patients at the center of their care, and improves the health of all Americans. How do you plan to reflect the values of Family Medicine in your future career?"
Ohio State,5,Please see our website for more information about applying to our program at medicine.osu.edu/cmt. Please give an example of a life experience that sparked your desire to practice medicine in a smaller community and apply to the Community Medicine Track.
Ohio State,6,"Why are you interested in training in a smaller community, and what is the impact you hope to have by training in this setting?"
Miami (Miller),2023,2024 Miami (Miller) Secondary Essay Prompts (500 word limit each) 1) What have you done during the recent COVID-19 pandemic that will better prepare you to be a medical student and future physician?
Toledo,2023,"2024 Toledo Secondary Essay Prompts 1. The Admissions Committee considers a wide variety of factors in evaluating applicants, including fit between applicants and our program’s mission, goals, and culture. In the essays below, we invite you to share information about yourself with regard to two aspects of our program. We encourage you to provide information and insights that may not be easily gleaned from other aspects of your medical school application. In responding to the essay prompts below, you should interpret the questions to the best of your ability."
Toledo,2,One of the AAMC Core Competencies for entering medical students involves resilience and adaptability. This competency involves the ability to tolerate stressful or changing environments or situations and adapt effectively to them. Additional characteristics of this competency are persistence and the ability to recover from setbacks.
Toledo,3,"(Optional) Please use the space below for anything you might wish to discuss related to the corona virus (COVID-19) public health crisis. Possible topics might include, for example: your biggest lessons and insights from the pandemic; creative ways in which you were able to serve your community during the crisis; hardships you may have faced as a result of the virus or quarantine. (You will have an opportunity to specifically discuss impacts to your coursework/grades in a separate item.) (600 words)"
Toledo,4,"We invite you to briefly discuss any other connections you may have to The University of Toledo, the UToledo College of Medicine and Life Sciences, the city of Toledo, or the region of Northwest Ohio or to provide additional information about the affiliations you noted above. (300 words)"
Toledo,5,"Please briefly describe what activities you are/have been engaged in during the period between undergraduate school and medical school. (300 words, pops up if you answered ""yes"" to if you had a gap.)"
Toledo,6,"If you feel you have any aspects of your record that may potentially negatively influence your application to our medical school, we encourage you to use this space to discuss them in order to provide the admissions committee with further context about your application. (Examples of possible topics include MCAT scores lower than our class average, low grades, withdrawn course, institutional action/student conduct violation.) (500 words)"
Eastern Virginia,2023,2024 Eastern Virginia Secondary Essay Prompts 1. Briefly describe your exposure to medicine. (2000 characters)
Eastern Virginia,2,What do you think you will like best about being a physician? (2000 characters)
Eastern Virginia,3,What do you think you will like least about being a physician? (2000 characters)
Eastern Virginia,4,Describe yourself and your medical career as you see it ten years from now. (2000 characters)
Eastern Virginia,5,Please indicate your reasons for applying to EVMS. (2000 characters)
Eastern Virginia,6,"(Optional) EVMS is dedicated to inclusivity and supporting patients and students from diverse backgrounds. Feel free to share your personal experience or ties to communities from diverse backgrounds. Please explain in detail if you wish to respond. Some examples include but are not limited to race/ethnicity, culture, LGBTQ+, differently-abled/disabled, etc. (2000 characters)"
Eastern Virginia,7,"(Optional) If you would like to discuss how race has personally affected your life, through discrimination, inspiration or otherwise, feel free to share your experiences, obstacles overcome, and how this impacted your education and road to applying to medical school. (3000 characters)"
Texas A&M,2023,"2024 Texas A & M Secondary Essay Prompts: 1. As a physician, you never know what type of patient you will serve. From your past experiences, please describe or highlight factors or situations that demonstrate your ability to work with individuals from multicultural communities. (3500 chars max)"
Texas A&M,2,"The Texas A&M School of Medicine embraces the Aggie Core Values of Respect, Excellence, Leadership, Loyalty, Integrity and Selfless Service. Please elaborate on personal characteristics, values, accomplishments and/or any experiences that you feel will help to demonstrate your potential to contribute to the school and to the profession of medicine. (3500 chars max)"
Texas A&M,3,"Describe any circumstances indicative of some hardship, such as, but not limited to, financial difficulties, personal or family illness, a medical condition, a death in the immediate family or educational disadvantage not mentioned in your primary application essays. What strategies have you used to address these circumstances? (3500 chars max)"
Texas A&M,4,"OPTIONAL QUESTION: List the area (or areas) of medicine that appeals to you and briefly explain. (Limit your explanation to 50 words or 250 characters total) Do not leave blank. If not applicable, please so indicate."
Texas A&M,1,How did you hear about the EnMed program?
Texas A&M,2,How will the Engineering Medicine program meet your career goals and aspirations in ways that a traditional MD program would not?
Texas A&M,3,"List the knowledge and skills you have participated in outside the classroom, then describe how these have prepared you to create innovative medical technologies."
Texas A&M,4,"List the knowledge and skills you have acquired inside the classroom, then describe how these have prepared you to create innovative medical technologies."
Texas A&M,5,"At the end of your career, what do you want to have accomplished in order to consider yourself successful?"
NYU (Grossman),1,"If applicable, please comment on significant fluctuations in your academic record which are not explained elsewhere on your application. (no limited provided)"
NYU (Grossman),2,"If you have taken any time off from your studies, either during or after college, please describe what you have done during this time and your reasons for doing so. (no limit provided)"
NYU (Grossman),3,The Admissions Committee holistically evaluates a range of student qualities and life experiences that complement demonstrated academic excellence. What unique qualities do you possess that make you uniquely suited to become a physician or physician-scientist? How have your individual lived experiences shaped your core values and desire to be a future leader in our profession? (2500 characters)
NYU (Grossman),4,Answer
NYU (Grossman),1,The most meaningful achievements are often non-academic in nature. Describe the personal accomplishment that makes you most proud. Why is this important to you?
NYU (Grossman),2,"Conflicts arise daily from differences in perspectives, priorities, worldviews and traditions. How do you define respect? Describe a situation in which you found it challenging to remain respectful while facing differences?"
NYU (Grossman),3,"Describe a situation in which working with a colleague, family member or friend has been challenging. How did you resolve, if at all, the situation as a team and what did you gain from the experience that will benefit you as a future health care provider?"
NYU (Grossman),5,"NYU Grossman School of Medicine strives to provide our students with the option of accelerating their medical educational training. In order to guide our curricular efforts to provide additional opportunities for early career exploration for our students, please select up to three residency specialties that are currently of interest to you. Please note that your selection in no way impacts your admissions decision (i.e., there are no right or wrong selections), that it is not binding in any way, and that you may select “Undecided” if you are unsure of your future career path."
NYU (Grossman),1,"How many months of full-time research experience have you completed? When estimating this amount, you may convert part-time research into its full-time equivalent. For example, if you conducted part-time research for 1 year for ~50% of the time, this would equal 6 months of full-time research. Please do not include lab experiences associated with a course (e.g., organic chemistry course with lab)."
NYU (Grossman),2,What area of research would you like to pursue in your graduate training? (200 words max)
NYU (Grossman),3,Please describe your ideal career. (200 words max)
Minnesota,2023,2024 Minnesota Secondary Essay Prompts (1500 characters each) Questions 1-3 are required for all. See notes about #5 and #6
New York Medical College,2023,2024 New York Medical College Secondary 1. If you do not have any family members with a connection to NYMC for any of the below categories you can skip this section.
New York Medical College,2023,"2024 New York Medical College Secondary In this activity please indicate if you have/had a family member (Grandparent, Parent or Sibling) that attended the NYMC School of Medicine. Applicable to alumni from School of Medicine only. Does not apply to alumni from NYMC-sponsored residency programs, NYMC Graduate School of Basic Medical Sciences (GSBMS) or NYMC School of Health Sciences & Practice (SHSP)"
New York Medical College,2023,"2024 New York Medical College Secondary In this activity please indicate if you have a family member (Grandparent, Parent or Sibling) Applicable to full-time employees at School of Medline only."
New York Medical College,2023,"2024 New York Medical College Secondary 2. Please review the NYMC Social Media Policy. If you select YES, we ask that you please briefly explain what has been posted."
New York Medical College,3,"Please share any disruptions in your academic, volunteer, work, and/or personal life related to COVID-19"
New York Medical College,4,Please review the NYMC Technical Standards on our NYMC.EDU website for Admissions and Enrollment and attest to your understanding of them. Please scroll down to the bottom of the page where it says policies related to student admission to view the link.
Baylor,2023,"2024 Baylor Secondary Essay Prompts 1. In addition to training as a competent physician, please select up to two additional areas of interest from the items below that you may want to pursue during your medical studies. Your responses will have no bearing on applications to joint degrees or special programs to which you might also apply. "
Baylor,2,"Are you planning to matriculate into medical school immediately after completing your undergraduate education? If not, please explain what activities and/or careers you have pursued in the time between your college education and your application. (no limit)"
Baylor,3,"Indicate any special experiences, unusual factors or other information you feel would be helpful in evaluating you, including, but not limited to, education, employment, extracurricular activities, prevailing over adversity. You may expand upon but not repeat TMDSAS or AMCAS application information. This section is mandatory. Please make sure you submit an essay or your application will not be reviewed by the committee. (2000 character limit)."
Baylor,1,Please describe your primary research Interests for PhD training. [Limit of 1000 characters]
Baylor,2,Why do you think Baylor College of Medicine MD/PhD Program would be a good place for you to train to be a physician scientist? Please provide names of potential Baylor College of Medicine and/or Rice University faculty with whom you would like to work. (Will not limit final research project or mentor selection) [Limit of 1500 characters] 
Baylor,3,"Tell us about a characteristic(s) that may enable you to interact with people from a wide range of ages, experiences, viewpoints, and backgrounds. [Limit of 1000 characters]"
Baylor,4,"Published articles, please provide full citations:"
Baylor,5,Plans for the 2023-2024 academic year description [Limit of 1000 characters]
Wright State (Boonshoft),2023,"2024 Wright State (Boonshoft) Secondary Essay Prompts 1. If you earned a medically related certificate/license, how many hours have you worked in that role since earning your certificate/license? If not, please enter N/A. (100 characters)"
Wright State (Boonshoft),2,"If there has been a significant economic hardship, please explain the circumstances. If none, please enter N/A. (750 characters)"
Wright State (Boonshoft),3,"If your parents are graduates of Wright State University Boonshoft School of Medicine, please list their name(s) and graduation year(s). Enter N/A if your parents are not Wright State University Boonshoft School of Medicine Alumni. (100 characters)"
Wright State (Boonshoft),4,"If you have relatives that are Wright State University Boonshoft School of Medicine alumni, current students, faculty or staff, please list their name(s). Enter N/A if you do not have relatives that are Wright State University Boonshoft School of Medicine alumni, current students, faculty or staff. (100 characters)"
Wright State (Boonshoft),5,"If you have applied to Wright State University Boonshoft School of Medicine in a previous cycle, please indicate the year(s) of your previous application(s). Enter N/A if this is your first application to Wright State University Boonshoft School of Medicine. (100 characters)"
Wright State (Boonshoft),6,What is the primary reason that you have chosen to apply to the Wright State University Boonshoft School of Medicine? (750 characters)
Wright State (Boonshoft),7,Are there any specific patient populations that that you desire to serve as a physician? (750 characters)
Wright State (Boonshoft),8,"If there has been or will be a gap in your education, please describe how you have/will use this time. If not, please enter N/A. (750 characters)"
Wright State (Boonshoft),9,"If you consider yourself a non-traditional candidate, please explain. If not, please enter N/A. (750 characters)"
Wright State (Boonshoft),10,"Briefly describe any extenuating circumstances which you believe are pertinent to your application (i.e. Poor grades, withdrawn courses, life events). If none, please enter N/A. (750 characters)"
Wright State (Boonshoft),11,"If you have attended any allopathic or osteopathic medical school, as a candidate for an M.D. or D.O., please list the name of the school and explain the reason for separation. Enter N/A if you have not attended any allopathic or osteopathic medical school as a candidate for an M.D. or D.O. (750 characters)"
Wright State (Boonshoft),12,"If you are not a current resident of the state of Ohio, please describe your connection to Ohio. If you have no connection to the state of Ohio, please enter N/A. (750 characters)"
Wright State (Boonshoft),13,"If you have a connection to Wright State University, please describe your that connection. If you have no connection to Wright State University, please enter N/A. (750 characters)"
Wright State (Boonshoft),14,"If you have a connection to the Boonshoft School of Medicine, please describe that connection. If you have no connection to the Boonshoft School of Medicine, please enter N/A. (750 characters)"
Tufts,2023,2024 Tufts Secondary Essay Prompts: (1000 character limit each) 1. Do you wish to include any comments (in addition to those already provided in your AMCAS application) to the Admissions Committee at Tufts University School of Medicine?
Tufts,2,"Please briefly describe your plans for the coming year. Include in this explanation if you will be a student, working, conducting research, volunteering, etc."
Tufts,3,"Please tell us about your journey to medical school and how your background and experiences will positively impact your future as a medical student and physician. If you have experienced personal circumstances or hardships that have helped you develop qualities that you believe will allow you to better serve your future patients and the medical community as a whole, please share those experiences in your response."
Tufts,4,"Tufts values include a commitment to social responsibility; to serve and advocate for all people, especially underserved and vulnerable patients and populations, by addressing social determinants of health, health equity, social justice, and stewardship of social resources. Have you done substantial work or volunteer service in such communities?"
Tufts,5,Do you have any withdrawals or repeated coursework listed on your transcript(s)?
Tufts,6,Did you take any leaves of absence or significant breaks from your undergraduate education? (Do not include time off after graduation.)
Tufts,7,"Because your academics will not be shared with interviewers until after you complete your interview, we encourage you to use this space to elaborate on any academic challenges you have overcome. We understand that many applicants encounter academic hardships along the way. Please comment on any academic difficulties that you have encountered since completing high school (grades and MCAT scores). We believe that such difficulties offer an opportunity for growth and would appreciate learning how your experiences have affected your approach to academics. If you have not encountered any difficulties, you may answer 'No.'"
Tufts,8,"Have you ever been convicted of, or pleaded guilty or no contest to, a Misdemeanor crime, excluding 1) any offense for which you were adjudicated as a juvenile 2) any convictions which have been expunged or sealed by a court, or 3) any misdemeanor convictions for which any probation has been completed and the case dismissed by the court (in states where applicable)? For more information please"
Texas Tech Lubbock,2023,2024 Texas Tech Lubbock Secondary Essay Prompts: Prompts in Green are REQUIRED
Texas Tech Lubbock,1,Please indicate the area(s) of medicine you are interested in and briefly describe your significant activities for each respective interest in the available text box (100 words).
Texas Tech Lubbock,3,"Please share any lessons learned during your academic journey. For example, a time a goal of yours was deterred and maybe even halted, how did you handle that situation? (250 words or less)"
Texas Tech Lubbock,8,Please tell us about your favorite recreational/leisure activities (100 words or less)
Texas Tech Lubbock,9,Please share with us your ideal practice. For example: Where would you practice? Who would your patients be? What would your specialty be? (100-word limit)
Vanderbilt,2023,"2024 Vanderbilt Secondary Essay Prompts 1. Please reflect on the upbringing, background, and experiences in your life that have shaped who you are as a person and will help define the person you want to be in the future. In other words, what makes you who you are? (800 words)"
Vanderbilt,2,Tell us about a time when you interacted with someone who is different than you. What did you learn? What would you do differently? (600 words)
Vanderbilt,3,Everyone needs help at various times in their lives. Describe a time you asked for help and what you gained from that experience that has influenced your approach to asking for help. (600 words)
Vanderbilt,4,"(Optional) : If you have completed your undergraduate education, please comment on what you have done or have been doing since graduation. (200 words)"
Vanderbilt,5,"(Optional): If applicable, please describe how the COVID-19 outbreak affected your pathway to medical school. You may discuss any academic, personal, financial, or professional alterations to your plans. NOTE: Disclosing certain hardships or obstacles that have been faced during this time will not negatively affect an application. (200 words)"
Vanderbilt,6,"(Optional): How did you first become interested in Vanderbilt University School of Medicine? (200 words)"""
Morehouse,2023,2024 Morehouse Secondary Prompts Briefly explain the reasons for your selections in the Perceptions of Your Medical Career Section.
Morehouse,2023,2024 Morehouse Secondary Prompts Type a brief statement setting forth the key motivational factors in your decision to apply to Morehouse School of Medicine and any information about yourself you feel would be of interest to the Committee of Admissions in the consideration of your application.
Charles R Drew,2023,2024 Charles R Drew Secondary Prompts 1. The university’s vision statement is “Excellent health and wellness for all in a world without health disparities”. Describe how you envision yourself contributing to the CDU vision statement. (1200 characters)
Charles R Drew,2,Describe your commitment to transforming the health of diverse and underserved communities. (800 characters)
Charles R Drew,3,Detail the key motivational factors in your decision to apply to the CDU MD Program. (1200 characters)
Charles R Drew,4,Please describe a personal experience in which you have encountered discrimination. (800 characters)
Charles R Drew,5,How will you utilize your medical knowledge and skills to contribute positively to your community after completing medical school? (800 characters)
University of Washington,2023,2024 University of Washington Secondary Essay Prompts: ( Casper is not required this year) 1. How have societal inequities in the U.S. affected you or people you have worked with? (250 words) 
University of Washington,2,"The UWSOM aims to build a diverse class of students to enrich the field of medicine. What perspectives, identities, and/or qualities would you bring? (250 words) "
University of Washington,3,What obstacles have you experienced and how have you overcome them? (250 words) 
University of Washington,4,Describe your competency by explaining how you have explored and come to understand issues in the social sciences and humanities as they relate to the practice of medicine. (250 words) 
University of Washington,5,"For re-applicants: From your most recent application until now, how have you strengthened your application? (250 words) "
University of Washington,6,For Wyoming applicants: Describe your experiences in Wyoming that have influenced and/or informed your decision to pursue a medical career?
SUNY Upstate (Norton),2023,"2024 SUNY Upstate (Norton) Secondary Essay Prompts 1. If you earned your baccalaureate degree prior to this past June (2023), please provide a brief statement indicating your plans for the upcoming academic year."
SUNY Upstate (Norton),2,Which medical specialty do you currently plan to pursue? 
SUNY Upstate (Norton),3,You might consider yourself disadvantaged if you grew up in an area that was medically or underserved or had insufficient access to educational opportunities. Do you consider yourself within this description? If you answer Yes please explain your particular circumstances regarding why you consider yourself a disadvantaged applicant. 
SUNY Upstate (Norton),4,"Upstate Medical University is strongly committed to providing a diverse, equitable, and inclusive environment for the patients we serve and all who work at, study at, or visit our campus. In 500 words or less, please answer the following question:"
SUNY Upstate (Norton),5,"If you are interested in Primary Care, are you interested in receiving more information about potential scholarship opportunities? "
SUNY Upstate (Norton),6,"We understand that the COVID-19 crisis disrupted many aspects of our lives. Please share if you had any curricular impacts during this time, for example, change to pass/fail courses or to online coursework or if you anticipate any deficiencies in experiences as a result of COVID-19."
Carle-Illinois,2023,2024 Carle-Illinois Secondary Prompts Note: Carle uses a unique format for its secondary. Please read the instructions carefully. There is a video response that you have to do in addition to the below.
Carle-Illinois,8,"5"" x 11""). No hyperlinks or embedded videos are allowed. We encourage you to make your artifacts image focused. Your artifacts will be most powerful if you include multiple activities for each and clearly indicate the quality and depth of your experience, but only include that which is meaningful for the value. You may repeat experiences listed on your AMCAS application and/or include new ones. Please do not include activities from high school or earlier unless they are of very high quality or impact (an example would be achieving Eagle Scout rank). Family interactions/relationships (""spending time with family"") are unlikely to score well unless you can show how they are noteworthy or significant (an example would be full-time caregiver for a family member for a period). As you are completing your portfolio, please keep in mind that our screeners will evaluate your portfolio independently BEFORE they evaluate your AMCAS application so do not assume the screeners are aware of any of the information in your AMCAS."
Florida State,2023,"2024 Florida State Secondary Prompts ""Please complete this application with as much specificity and detail as you can. Though many questions are optional the Admissions Committee STRONGLY ENCOURAGES applicants to submit detailed answers to each question"""
Florida International (FIU),2023,2024 Florida International Secondary Prompts Primary Activity/Employment
Florida International (FIU),1,"Whether or not you will be a full-time student, please explain what you will be doing prior to your planned matriculation into medical school. (Not sure of character limit, but it is less than 1000 for sure)"
Florida International (FIU),2,"If you have taken a gap year(s), please explain what you have been, or will be doing since graduating from your undergrad institution. (same as above)"
Florida International (FIU),1,"Miami is a vibrant and multicultural, multilingual city. You will be exposed to cultures and languages different than your own while living and studying in this city. Please explain in detail an experience in which you collaborated, worked, or were exposed to diverse backgrounds. Please describe the impact the experience had on you. (1200 characters)"
Florida International (FIU),2,Why did you choose to apply to FIU Herbert Wertheim College of Medicine? (1200 characters)
Florida International (FIU),3,"Please describe a significant personal challenge you have faced, one which you feel has helped to shape you as a person. Focus on what you learned about yourself and how it will help you during the challenges you might face in medical school. Describe any support system you had at your disposal and how you utilized these resources. (1200 characters)"
